department,condition,clicked,total_clicks,num_emails
Arizona State University-Chemistry,control,1,2,3
Arizona State University-Mathematics,control,1,12,4
Arizona State University-Mechanical Engineering,treatment,1,2,1
Arizona State University-Physics,treatment,1,7,5
Auburn University-Chemistry,treatment,0,0,2
Auburn University-Computer Science,control,0,0,2
Auburn University-Mathematics,control,1,3,5
Auburn University-Mechanical Engineering,control,0,0,2
Baylor University-Chemistry,control,0,0,2
Baylor University-Mathematics,control,1,1,4
Binghamton University-Computer Science,control,0,0,2
Binghamton University-Mathematics,control,1,2,8
Binghamton University-Mechanical Engineering,control,0,0,2
Boston College-Mathematics,control,1,1,3
Boston College-Physics,treatment,1,4,2
Boston University-Chemistry,treatment,1,1,3
Boston University-Computer Science,treatment,1,5,8
Boston University-Mathematics,treatment,1,2,6
Boston University-Mechanical Engineering,control,0,0,2
Boston University-Physics,control,0,0,3
Brandeis University-Computer Science,control,1,1,2
Brandeis University-Mathematics,treatment,0,0,5
Brandeis University-Physics,treatment,1,3,3
Brown University-Chemistry,control,1,6,2
Brown University-Computer Science,control,1,4,3
Brown University-Mathematics,control,1,5,10
Brown University-Mechanical Engineering,treatment,0,0,3
Brown University-Physics,treatment,1,2,2
California Institute of Technology-Chemistry,control,1,2,4
California Institute of Technology-Computer Science,control,0,0,2
California Institute of Technology-Mathematics,control,1,1,5
California Institute of Technology-Mechanical Engineering,treatment,1,3,2
California Institute of Technology-Physics,control,1,1,3
Carnegie Mellon University-Chemistry,control,0,0,2
Carnegie Mellon University-Computer Science,control,1,6,8
Carnegie Mellon University-Mathematics,treatment,0,0,4
Carnegie Mellon University-Mechanical Engineering,control,0,0,2
Case Western Reserve University-Chemistry,control,1,1,2
Case Western Reserve University-Mathematics,treatment,0,0,2
Case Western Reserve University-Physics,control,0,0,2
Clemson University-Chemistry,control,0,0,2
Clemson University-Mathematics,treatment,0,0,2
Clemson University-Physics,control,1,1,2
Colorado School of Mines-Chemistry,control,0,0,2
Colorado School of Mines-Computer Science,control,1,1,2
Colorado School of Mines-Mathematics,control,1,1,2
Colorado School of Mines-Mechanical Engineering,control,0,0,2
Colorado School of Mines-Physics,control,0,0,2
Colorado State University-Chemistry,treatment,0,0,2
Colorado State University-Computer Science,control,0,0,2
Colorado State University-Mathematics,treatment,1,5,6
Colorado State University-Physics,control,0,0,2
Columbia University-Chemistry,treatment,1,2,2
Columbia University-Mathematics,treatment,1,25,15
Columbia University-Mechanical Engineering,treatment,0,0,2
Columbia University-Physics,treatment,1,6,5
Cornell University-Chemistry,control,0,0,2
Cornell University-Computer Science,control,1,4,7
Cornell University-Mathematics,control,1,10,10
Cornell University-Mechanical Engineering,control,0,0,2
Cornell University-Physics,control,0,0,4
Dartmouth College-Chemistry,treatment,1,4,2
Dartmouth College-Mathematics,treatment,1,9,7
Dartmouth College-Physics,control,1,1,2
Drexel University-Mathematics,control,1,1,2
Duke University-Chemistry,control,0,0,3
Duke University-Computer Science,treatment,1,2,4
Duke University-Mathematics,control,0,0,2
Duke University-Mechanical Engineering,control,1,3,2
Emory University-Chemistry,control,1,1,2
Emory University-Mathematics,treatment,1,2,6
Emory University-Physics,control,0,0,2
Florida International University-Chemistry,treatment,1,3,2
Florida International University-Mathematics,treatment,1,1,4
Florida International University-Physics,treatment,1,2,2
Florida State University-Chemistry,control,1,1,3
Florida State University-Computer Science,treatment,0,0,2
Florida State University-Mathematics,treatment,1,5,6
Florida State University-Mechanical Engineering,treatment,1,1,2
Florida State University-Physics,control,0,0,2
George Mason University-Chemistry,treatment,0,0,2
George Mason University-Computer Science,control,1,2,2
George Mason University-Mathematics,control,0,0,7
George Mason University-Mechanical Engineering,treatment,0,0,2
George Mason University-Physics,control,1,1,2
George Washington University-Chemistry,treatment,1,2,2
George Washington University-Mathematics,control,1,1,2
Georgetown University-Chemistry,control,1,2,2
Georgetown University-Mathematics,control,1,1,2
Georgetown University-Physics,control,0,0,2
Georgia Institute of Technology-Chemistry,treatment,1,1,2
Georgia Institute of Technology-Computer Science,treatment,0,0,2
Georgia Institute of Technology-Mechanical Engineering,control,1,1,2
Georgia Institute of Technology-Physics,treatment,1,1,2
Georgia State University-Chemistry,control,0,0,2
Georgia State University-Physics,control,0,0,2
"Graduate Center, CUNY-Mathematics",treatment,1,18,22
"Graduate Center, CUNY-Mechanical Engineering",treatment,0,0,2
Harvard University-Chemistry,treatment,0,0,2
Harvard University-Computer Science,treatment,0,0,4
Harvard University-Mechanical Engineering,control,1,1,2
Harvard University-Physics,treatment,1,4,5
Indiana University Bloomington-Chemistry,control,0,0,2
Indiana University Bloomington-Mathematics,treatment,1,1,4
Indiana University Bloomington-Physics,control,0,0,3
Iowa State University-Chemistry,control,0,0,2
Iowa State University-Computer Science,control,0,0,2
Iowa State University-Mathematics,control,1,2,5
Iowa State University-Mechanical Engineering,control,0,0,2
Iowa State University-Physics,treatment,0,0,2
Johns Hopkins University-Chemistry,control,1,1,2
Johns Hopkins University-Computer Science,control,1,1,2
Johns Hopkins University-Mathematics,control,1,7,6
Johns Hopkins University-Mechanical Engineering,control,1,1,3
Johns Hopkins University-Physics,control,0,0,3
Kansas State University-Chemistry,treatment,0,0,2
Kansas State University-Mathematics,treatment,1,3,4
Kansas State University-Physics,treatment,1,4,4
Kent State University-Chemistry,treatment,1,1,2
Kent State University-Mathematics,control,0,0,3
Kent State University-Physics,control,1,2,3
Louisiana State University-Chemistry,treatment,1,1,2
Louisiana State University-Computer Science,control,1,1,2
Louisiana State University-Mathematics,treatment,1,1,2
Louisiana State University-Physics,control,1,1,2
Massachusetts Institute of Technology-Chemistry,treatment,1,4,5
Massachusetts Institute of Technology-Computer Science,control,0,0,5
Massachusetts Institute of Technology-Mathematics,control,1,11,17
Massachusetts Institute of Technology-Mechanical Engineering,treatment,1,4,2
Massachusetts Institute of Technology-Physics,treatment,1,7,7
Michigan State University-Chemistry,treatment,1,2,3
Michigan State University-Computer Science,control,1,1,2
Michigan State University-Mathematics,control,1,3,2
Michigan State University-Physics,control,1,1,4
Mississippi State University-Chemistry,treatment,0,0,2
Mississippi State University-Computer Science,control,0,0,2
Mississippi State University-Mathematics,treatment,0,0,2
Mississippi State University-Physics,treatment,1,1,2
Montana State University-Chemistry,treatment,1,3,2
Montana State University-Computer Science,control,0,0,2
Montana State University-Mathematics,treatment,0,0,2
Montana State University-Physics,control,1,1,2
New Jersey Institute of Technology-Computer Science,control,0,0,2
New Jersey Institute of Technology-Mathematics,treatment,1,3,3
New Jersey Institute of Technology-Physics,treatment,1,1,3
New York University-Chemistry,control,1,2,3
New York University-Computer Science,treatment,1,4,4
New York University-Mathematics,control,1,13,9
New York University-Physics,treatment,1,2,2
North Carolina State University-Chemistry,control,1,6,6
North Carolina State University-Computer Science,control,1,2,2
North Carolina State University-Mathematics,treatment,1,1,3
North Carolina State University-Mechanical Engineering,control,0,0,2
North Carolina State University-Physics,control,1,1,2
North Dakota State University-Mathematics,treatment,0,0,4
North Dakota State University-Physics,treatment,1,1,2
Northeastern University-Chemistry,control,1,1,2
Northeastern University-Computer Science,treatment,1,2,2
Northeastern University-Mathematics,treatment,1,1,4
Northeastern University-Physics,treatment,0,0,2
Northwestern University-Computer Science,control,0,0,2
Northwestern University-Mathematics,treatment,0,0,2
Ohio State University-Chemistry,treatment,0,0,2
Ohio State University-Mathematics,treatment,1,6,13
Ohio State University-Physics,treatment,1,6,5
Ohio University-Chemistry,control,0,0,2
Ohio University-Physics,treatment,1,1,3
Oklahoma State University-Stillwater-Chemistry,treatment,1,1,1
Oklahoma State University-Stillwater-Mathematics,control,0,0,1
Oklahoma State University-Stillwater-Physics,control,0,0,2
Old Dominion University-Chemistry,treatment,0,0,1
Old Dominion University-Computer Science,control,0,0,2
